method,pressure_prior,alpha_mode,prescribed_alpha,harmonics,n_datasets,n_runs,median_relative_D0_error,median_alpha_absolute_error,median_velocity_relative_rmse,mean_D0_coverage_rate,mean_alpha_coverage_rate,mean_boundary_hit_rate
bayesian_tile,No pressure prior,prescribed,2.0,H1 + H2,32,32,0.3690426555198071,1.0,1.281996367682372,0.441627358490566,0.28125,0.03419811320754717
bayesian_tile,No pressure prior,prescribed,2.0,H1,32,32,0.4125375446227554,1.0,1.291240881964315,0.5294811320754718,0.28125,0.025943396226415096
bayesian_tile,No pressure prior,solved,nan,H1 + H2,32,32,0.0,0.0500000000000001,1.2039947845028702,0.9221698113207547,0.9893867924528302,0.0047169811320754715
bayesian_tile,No pressure prior,solved,nan,H1,32,32,0.10874906186625409,0.10000000000000003,1.180302167386089,0.9280660377358491,0.9829009433962265,0.005306603773584905
bayesian_tile,Physics-GNN pressure prior (scaled),prescribed,0.0,H1 + H2,32,32,0.31398403365698724,1.0,1.2295747909744614,0.5984669811320755,0.375,0.0076650943396226415
bayesian_tile,Physics-GNN pressure prior (scaled),prescribed,0.0,H1,32,32,0.526064587110882,1.0,1.219151808936339,0.6491745283018868,0.375,0.020636792452830188
bayesian_tile,Physics-GNN pressure prior (scaled),prescribed,1.0,H1 + H2,32,32,0.25892541179416745,1.0,1.2612849831622301,0.5725235849056604,0.34375,0.01179245283018868
bayesian_tile,Physics-GNN pressure prior (scaled),prescribed,1.0,H1,32,32,0.41253754462275394,1.0,1.2596525654592696,0.6297169811320755,0.34375,0.012971698113207548
bayesian_tile,Physics-GNN pressure prior (scaled),prescribed,2.0,H1 + H2,32,32,0.3690426555198071,1.0,1.282128504357933,0.4422169811320754,0.28125,0.033608490566037735
bayesian_tile,Physics-GNN pressure prior (scaled),prescribed,2.0,H1,32,32,0.4125375446227554,1.0,1.2907177946174169,0.5288915094339623,0.28125,0.025943396226415096
bayesian_tile,Physics-GNN pressure prior (scaled),solved,nan,H1 + H2,32,32,0.0,0.0500000000000001,1.2039859895936555,0.9215801886792453,0.9893867924528302,0.0047169811320754715
bayesian_tile,Physics-GNN pressure prior (scaled),solved,nan,H1,32,32,0.10874906186625409,0.10000000000000003,1.1766798950256354,0.9280660377358491,0.9829009433962265,0.005306603773584905
linear_mosaic,No pressure prior,prescribed,0.0,H1 + H2,36,36,0.41253754462275466,1.0,0.16422950989983529,0.3333333333333333,0.3333333333333333,0.0
linear_mosaic,No pressure prior,prescribed,0.0,H1,36,36,0.4987153685419347,1.0,0.1428174798497448,0.3333333333333333,0.3333333333333333,0.0
linear_mosaic,No pressure prior,prescribed,1.0,H1 + H2,36,36,0.2873572103977625,1.0,0.13225089174094562,0.3333333333333333,0.3333333333333333,0.0
linear_mosaic,No pressure prior,prescribed,1.0,H1,36,36,0.31398403365698724,1.0,0.10415204374474883,0.3333333333333333,0.3333333333333333,0.0
linear_mosaic,No pressure prior,prescribed,2.0,H1 + H2,36,36,0.4988127663727275,1.0,0.1458844899062833,0.3333333333333333,0.3333333333333333,0.0
linear_mosaic,No pressure prior,prescribed,2.0,H1,36,36,0.46823572059118923,1.0,0.11655989284761467,0.3333333333333333,0.3333333333333333,0.0
linear_mosaic,No pressure prior,solved,nan,H1 + H2,36,36,0.0,0.0,0.0038533955321258377,1.0,1.0,0.0
linear_mosaic,No pressure prior,solved,nan,H1,36,36,0.0,0.0,0.0032148882169256406,1.0,1.0,0.0
linear_tile,K=0 pressure prior (scaled),prescribed,0.0,H1 + H2,36,36,0.25892541179416745,1.0,1.0869533447713895,0.6404612159329139,0.3333333333333333,0.0047169811320754715
linear_tile,K=0 pressure prior (scaled),prescribed,0.0,H1,36,36,0.36904265551980636,1.0,1.0728114875492198,0.6939203354297694,0.3333333333333333,0.00890985324947589
linear_tile,K=0 pressure prior (scaled),prescribed,1.0,H1 + H2,36,36,0.25892541179416745,1.0,1.1905838957646715,0.6142557651991615,0.3333333333333333,0.006289308176100628
linear_tile,K=0 pressure prior (scaled),prescribed,1.0,H1,36,36,0.292054215615862,1.0,1.1026420748599977,0.6708595387840671,0.3333333333333333,0.007337526205450733
linear_tile,K=0 pressure prior (scaled),prescribed,2.0,H1 + H2,36,36,0.3690426555198071,1.0,1.222382802315911,0.5319706498951783,0.3333333333333333,0.019916142557651992
linear_tile,K=0 pressure prior (scaled),prescribed,2.0,H1,36,36,0.3907901000712805,1.0,1.182654270239086,0.6079664570230608,0.3333333333333333,0.014150943396226415
linear_tile,K=0 pressure prior (scaled),solved,nan,H1 + H2,36,36,0.0,0.04999999999999999,1.0673336535586886,0.9989517819706499,0.999475890985325,0.016771488469601678
linear_tile,K=0 pressure prior (scaled),solved,nan,H1,36,36,0.10874906186625409,0.07500000000000018,1.037190355615151,0.9984276729559749,0.9979035639412999,0.04559748427672956
linear_tile,No pressure prior,prescribed,0.0,H1 + H2,36,36,0.25892541179416745,1.0,1.1252070982249727,0.640985324947589,0.3333333333333333,0.025157232704402517
linear_tile,No pressure prior,prescribed,0.0,H1,36,36,0.36904265551980636,1.0,1.1075394767337823,0.6928721174004193,0.3333333333333333,0.029874213836477988
linear_tile,No pressure prior,prescribed,1.0,H1 + H2,36,36,0.25892541179416745,1.0,1.1595121967202768,0.6116352201257862,0.3333333333333333,0.03721174004192872
linear_tile,No pressure prior,prescribed,1.0,H1,36,36,0.292054215615862,1.0,1.053537779945911,0.6687631027253669,0.3333333333333333,0.0440251572327044
linear_tile,No pressure prior,prescribed,2.0,H1 + H2,36,36,0.3690426555198071,1.0,1.211771201353137,0.5277777777777778,0.3333333333333333,0.0759958071278826
linear_tile,No pressure prior,prescribed,2.0,H1,36,36,0.3907901000712805,1.0,1.1590597594079688,0.6074423480083858,0.3333333333333333,0.0770440251572327
linear_tile,No pressure prior,solved,nan,H1 + H2,36,36,0.0,0.04999999999999999,1.117972009418845,0.9989517819706499,0.999475890985325,0.03563941299790357
linear_tile,No pressure prior,solved,nan,H1,36,36,0.10874906186625409,0.07500000000000018,1.0554367583718,0.9984276729559749,0.9979035639412999,0.07389937106918239
linear_tile,Physics-GNN pressure prior (scaled),prescribed,0.0,H1 + H2,32,32,0.25892541179416745,1.0,1.2454803269835448,0.6845518867924528,0.375,0.005306603773584906
linear_tile,Physics-GNN pressure prior (scaled),prescribed,0.0,H1,32,32,0.35229588011930835,1.0,1.189108996258534,0.7452830188679245,0.375,0.00884433962264151
linear_tile,Physics-GNN pressure prior (scaled),prescribed,1.0,H1 + H2,32,32,0.25892541179416745,1.0,1.2477244576685338,0.6420990566037736,0.34375,0.007665094339622641
linear_tile,Physics-GNN pressure prior (scaled),prescribed,1.0,H1,32,32,0.39079010007128046,1.0,1.2204469330050707,0.7004716981132075,0.34375,0.014150943396226415
linear_tile,Physics-GNN pressure prior (scaled),prescribed,2.0,H1 + H2,32,32,0.42509810971620315,1.0,1.3370677451793331,0.5011792452830188,0.28125,0.02417452830188679
linear_tile,Physics-GNN pressure prior (scaled),prescribed,2.0,H1,32,32,0.4376586748096509,1.0,1.2363267493245367,0.5890330188679245,0.28125,0.024174528301886794
linear_tile,Physics-GNN pressure prior (scaled),solved,nan,H1 + H2,32,32,0.0,0.050000000000000044,1.2037663335154531,0.9988207547169812,0.9994103773584906,0.01768867924528302
linear_tile,Physics-GNN pressure prior (scaled),solved,nan,H1,32,32,0.10874906186625409,0.10000000000000009,1.1328417194435438,1.0,0.9976415094339622,0.052476415094339625
