dataset,method,method_label,raw_method,engine,configuration,alpha_mode,prescribed_alpha,harmonics,base_configuration,D0,alpha,noise,seed,pressure_prior,pressure_prior_label,pressure_source,n_spatial_problems,D0_hat,alpha_hat,D0_interval_low,D0_interval_high,alpha_interval_low,alpha_interval_high,median_relative_D0_error,median_alpha_absolute_error,median_velocity_relative_rmse,D0_coverage_rate,alpha_coverage_rate,boundary_hit_rate,median_D0_interval_width_decades,median_alpha_interval_width,dashboard
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_prescribed_1__h1__pressure_scaled__edge_local_mlp__K0__dc_only__seed42,prescribed,1.0,H1,alpha_prescribed_1__h1,0.01,0.0,0.0,42,k0,K=0 pressure prior (scaled),edge_local_mlp__K0__dc_only__seed42,53,0.00794328234724282,1.0,0.00794328234724282,0.00794328234724282,1.0,1.0,0.20567176527571795,1.0,0.44877098894255746,0.1320754716981132,0.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_1__h1__pressure_scaled__edge_local_mlp__K0__dc_only__seed42/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_prescribed_1__h1_h2__pressure_scaled__edge_local_mlp__K0__dc_only__seed42,prescribed,1.0,H1 + H2,alpha_prescribed_1__h1_h2,0.01,0.0,0.0,42,k0,K=0 pressure prior (scaled),edge_local_mlp__K0__dc_only__seed42,53,0.00794328234724282,1.0,0.00794328234724282,0.00794328234724282,1.0,1.0,0.20567176527571795,1.0,0.44696049399188464,0.1509433962264151,0.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_1__h1_h2__pressure_scaled__edge_local_mlp__K0__dc_only__seed42/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_prescribed_2__h1__pressure_scaled__edge_local_mlp__K0__dc_only__seed42,prescribed,2.0,H1,alpha_prescribed_2__h1,0.01,0.0,0.0,42,k0,K=0 pressure prior (scaled),edge_local_mlp__K0__dc_only__seed42,53,0.005011872336272725,2.0,0.005011872336272725,0.005011872336272725,2.0,2.0,0.49881276637272753,2.0,0.6897740441026351,0.03773584905660377,0.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_2__h1__pressure_scaled__edge_local_mlp__K0__dc_only__seed42/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_prescribed_2__h1_h2__pressure_scaled__edge_local_mlp__K0__dc_only__seed42,prescribed,2.0,H1 + H2,alpha_prescribed_2__h1_h2,0.01,0.0,0.0,42,k0,K=0 pressure prior (scaled),edge_local_mlp__K0__dc_only__seed42,53,0.005623413251903491,2.0,0.005623413251903491,0.005623413251903491,2.0,2.0,0.4376586748096509,2.0,0.6136598931579417,0.03773584905660377,0.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_2__h1_h2__pressure_scaled__edge_local_mlp__K0__dc_only__seed42/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_solved__h1__pressure_scaled__edge_local_mlp__K0__dc_only__seed42,solved,nan,H1,alpha_solved__h1,0.01,0.0,0.0,42,k0,K=0 pressure prior (scaled),edge_local_mlp__K0__dc_only__seed42,53,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.22413979312412124,1.0,1.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_solved__h1__pressure_scaled__edge_local_mlp__K0__dc_only__seed42/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_solved__h1_h2__pressure_scaled__edge_local_mlp__K0__dc_only__seed42,solved,nan,H1 + H2,alpha_solved__h1_h2,0.01,0.0,0.0,42,k0,K=0 pressure prior (scaled),edge_local_mlp__K0__dc_only__seed42,53,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.22407944435472327,1.0,1.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_solved__h1_h2__pressure_scaled__edge_local_mlp__K0__dc_only__seed42/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_prescribed_0__h1,prescribed,0.0,H1,alpha_prescribed_0__h1,0.01,0.0,0.0,42,none,No pressure prior,,53,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.22413979312412124,1.0,1.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_0__h1/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_prescribed_0__h1_h2,prescribed,0.0,H1 + H2,alpha_prescribed_0__h1_h2,0.01,0.0,0.0,42,none,No pressure prior,,53,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.22407944435472327,1.0,1.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_0__h1_h2/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_prescribed_1__h1,prescribed,1.0,H1,alpha_prescribed_1__h1,0.01,0.0,0.0,42,none,No pressure prior,,53,0.00794328234724282,1.0,0.00794328234724282,0.00794328234724282,1.0,1.0,0.20567176527571795,1.0,0.448770988611195,0.1320754716981132,0.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_1__h1/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_prescribed_1__h1_h2,prescribed,1.0,H1 + H2,alpha_prescribed_1__h1_h2,0.01,0.0,0.0,42,none,No pressure prior,,53,0.00794328234724282,1.0,0.00794328234724282,0.00794328234724282,1.0,1.0,0.20567176527571795,1.0,0.4469604936831412,0.1509433962264151,0.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_1__h1_h2/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_prescribed_2__h1,prescribed,2.0,H1,alpha_prescribed_2__h1,0.01,0.0,0.0,42,none,No pressure prior,,53,0.005011872336272725,2.0,0.005011872336272725,0.005011872336272725,2.0,2.0,0.49881276637272753,2.0,0.6897740537721582,0.03773584905660377,0.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_2__h1/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_prescribed_2__h1_h2,prescribed,2.0,H1 + H2,alpha_prescribed_2__h1_h2,0.01,0.0,0.0,42,none,No pressure prior,,53,0.005623413251903491,2.0,0.005623413251903491,0.005623413251903491,2.0,2.0,0.4376586748096509,2.0,0.6136598931579417,0.03773584905660377,0.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_2__h1_h2/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_solved__h1,solved,nan,H1,alpha_solved__h1,0.01,0.0,0.0,42,none,No pressure prior,,53,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.22413979312412124,1.0,1.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_solved__h1/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_solved__h1_h2,solved,nan,H1 + H2,alpha_solved__h1_h2,0.01,0.0,0.0,42,none,No pressure prior,,53,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.22407944435472327,1.0,1.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_solved__h1_h2/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_prescribed_0__h1__pressure_scaled__physics_informed_gnn__K4__dc_only__seed42,prescribed,0.0,H1,alpha_prescribed_0__h1,0.01,0.0,0.0,42,physics_gnn,Physics-GNN pressure prior (scaled),physics_informed_gnn__K4__dc_only__seed42,53,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.22413979312412124,1.0,1.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_0__h1__pressure_scaled__physics_informed_gnn__K4__dc_only__seed42/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_prescribed_0__h1_h2__pressure_scaled__physics_informed_gnn__K4__dc_only__seed42,prescribed,0.0,H1 + H2,alpha_prescribed_0__h1_h2,0.01,0.0,0.0,42,physics_gnn,Physics-GNN pressure prior (scaled),physics_informed_gnn__K4__dc_only__seed42,53,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.22407944435472327,1.0,1.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_0__h1_h2__pressure_scaled__physics_informed_gnn__K4__dc_only__seed42/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_prescribed_1__h1__pressure_scaled__physics_informed_gnn__K4__dc_only__seed42,prescribed,1.0,H1,alpha_prescribed_1__h1,0.01,0.0,0.0,42,physics_gnn,Physics-GNN pressure prior (scaled),physics_informed_gnn__K4__dc_only__seed42,53,0.00794328234724282,1.0,0.00794328234724282,0.00794328234724282,1.0,1.0,0.20567176527571795,1.0,0.4487709890570484,0.1320754716981132,0.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_1__h1__pressure_scaled__physics_informed_gnn__K4__dc_only__seed42/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_prescribed_1__h1_h2__pressure_scaled__physics_informed_gnn__K4__dc_only__seed42,prescribed,1.0,H1 + H2,alpha_prescribed_1__h1_h2,0.01,0.0,0.0,42,physics_gnn,Physics-GNN pressure prior (scaled),physics_informed_gnn__K4__dc_only__seed42,53,0.00794328234724282,1.0,0.00794328234724282,0.00794328234724282,1.0,1.0,0.20567176527571795,1.0,0.44696049409832667,0.1509433962264151,0.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_1__h1_h2__pressure_scaled__physics_informed_gnn__K4__dc_only__seed42/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_prescribed_2__h1__pressure_scaled__physics_informed_gnn__K4__dc_only__seed42,prescribed,2.0,H1,alpha_prescribed_2__h1,0.01,0.0,0.0,42,physics_gnn,Physics-GNN pressure prior (scaled),physics_informed_gnn__K4__dc_only__seed42,53,0.005011872336272725,2.0,0.005011872336272725,0.005011872336272725,2.0,2.0,0.49881276637272753,2.0,0.6897740534775767,0.03773584905660377,0.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_2__h1__pressure_scaled__physics_informed_gnn__K4__dc_only__seed42/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_prescribed_2__h1_h2__pressure_scaled__physics_informed_gnn__K4__dc_only__seed42,prescribed,2.0,H1 + H2,alpha_prescribed_2__h1_h2,0.01,0.0,0.0,42,physics_gnn,Physics-GNN pressure prior (scaled),physics_informed_gnn__K4__dc_only__seed42,53,0.005623413251903491,2.0,0.005623413251903491,0.005623413251903491,2.0,2.0,0.4376586748096509,2.0,0.6136598931579417,0.03773584905660377,0.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_2__h1_h2__pressure_scaled__physics_informed_gnn__K4__dc_only__seed42/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_solved__h1__pressure_scaled__physics_informed_gnn__K4__dc_only__seed42,solved,nan,H1,alpha_solved__h1,0.01,0.0,0.0,42,physics_gnn,Physics-GNN pressure prior (scaled),physics_informed_gnn__K4__dc_only__seed42,53,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.22413979312412124,1.0,1.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_solved__h1__pressure_scaled__physics_informed_gnn__K4__dc_only__seed42/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_solved__h1_h2__pressure_scaled__physics_informed_gnn__K4__dc_only__seed42,solved,nan,H1 + H2,alpha_solved__h1_h2,0.01,0.0,0.0,42,physics_gnn,Physics-GNN pressure prior (scaled),physics_informed_gnn__K4__dc_only__seed42,53,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.22407944435472327,1.0,1.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_solved__h1_h2__pressure_scaled__physics_informed_gnn__K4__dc_only__seed42/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,linear_mosaic,Linear Mosaic,linear_mosaic,cpu,alpha_prescribed_0__h1,prescribed,0.0,H1,alpha_prescribed_0__h1,0.01,0.0,0.0,42,none,No pressure prior,,1,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,2.939678644212038e-07,1.0,1.0,0.0,0.0,0.0,../linear_mosaic/pl_d1e-02_a0_n00_s42/alpha_prescribed_0__h1/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,linear_mosaic,Linear Mosaic,linear_mosaic,cpu,alpha_prescribed_0__h1_h2,prescribed,0.0,H1 + H2,alpha_prescribed_0__h1_h2,0.01,0.0,0.0,42,none,No pressure prior,,1,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,3.1244644549890705e-07,1.0,1.0,0.0,0.0,0.0,../linear_mosaic/pl_d1e-02_a0_n00_s42/alpha_prescribed_0__h1_h2/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,linear_mosaic,Linear Mosaic,linear_mosaic,cpu,alpha_prescribed_1__h1,prescribed,1.0,H1,alpha_prescribed_1__h1,0.01,0.0,0.0,42,none,No pressure prior,,1,0.005623413251903491,1.0,0.005623413251903491,0.005623413251903491,1.0,1.0,0.4376586748096509,1.0,0.12941571409447764,0.0,0.0,0.0,0.0,0.0,../linear_mosaic/pl_d1e-02_a0_n00_s42/alpha_prescribed_1__h1/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,linear_mosaic,Linear Mosaic,linear_mosaic,cpu,alpha_prescribed_1__h1_h2,prescribed,1.0,H1 + H2,alpha_prescribed_1__h1_h2,0.01,0.0,0.0,42,none,No pressure prior,,1,0.005011872336272725,1.0,0.005011872336272725,0.005011872336272725,1.0,1.0,0.49881276637272753,1.0,0.12870641510817338,0.0,0.0,0.0,0.0,0.0,../linear_mosaic/pl_d1e-02_a0_n00_s42/alpha_prescribed_1__h1_h2/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,linear_mosaic,Linear Mosaic,linear_mosaic,cpu,alpha_prescribed_2__h1,prescribed,2.0,H1,alpha_prescribed_2__h1,0.01,0.0,0.0,42,none,No pressure prior,,1,0.002511886431509582,2.0,0.002511886431509582,0.002511886431509582,2.0,2.0,0.7488113568490418,2.0,0.2354844233360738,0.0,0.0,0.0,0.0,0.0,../linear_mosaic/pl_d1e-02_a0_n00_s42/alpha_prescribed_2__h1/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,linear_mosaic,Linear Mosaic,linear_mosaic,cpu,alpha_prescribed_2__h1_h2,prescribed,2.0,H1 + H2,alpha_prescribed_2__h1_h2,0.01,0.0,0.0,42,none,No pressure prior,,1,0.00223872113856834,2.0,0.00223872113856834,0.00223872113856834,2.0,2.0,0.776127886143166,2.0,0.24137142592748118,0.0,0.0,0.0,0.0,0.0,../linear_mosaic/pl_d1e-02_a0_n00_s42/alpha_prescribed_2__h1_h2/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,linear_mosaic,Linear Mosaic,linear_mosaic,cpu,alpha_solved__h1,solved,nan,H1,alpha_solved__h1,0.01,0.0,0.0,42,none,No pressure prior,,1,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,2.939678644212038e-07,1.0,1.0,0.0,0.0,0.0,../linear_mosaic/pl_d1e-02_a0_n00_s42/alpha_solved__h1/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,linear_mosaic,Linear Mosaic,linear_mosaic,cpu,alpha_solved__h1_h2,solved,nan,H1 + H2,alpha_solved__h1_h2,0.01,0.0,0.0,42,none,No pressure prior,,1,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,3.1244644549890705e-07,1.0,1.0,0.0,0.0,0.0,../linear_mosaic/pl_d1e-02_a0_n00_s42/alpha_solved__h1_h2/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,linear_tile,Linear Tile,linear_tile_gpu,gpu,alpha_prescribed_0__h1__pressure_scaled__edge_local_mlp__K0__dc_only__seed42,prescribed,0.0,H1,alpha_prescribed_0__h1,0.01,0.0,0.0,42,k0,K=0 pressure prior (scaled),edge_local_mlp__K0__dc_only__seed42,53,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.22412897549141073,1.0,1.0,0.0,0.0,0.0,../linear_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_0__h1__pressure_scaled__edge_local_mlp__K0__dc_only__seed42/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,linear_tile,Linear Tile,linear_tile_gpu,gpu,alpha_prescribed_0__h1_h2__pressure_scaled__edge_local_mlp__K0__dc_only__seed42,prescribed,0.0,H1 + H2,alpha_prescribed_0__h1_h2,0.01,0.0,0.0,42,k0,K=0 pressure prior (scaled),edge_local_mlp__K0__dc_only__seed42,53,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.22406863145456513,1.0,1.0,0.0,0.0,0.0,../linear_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_0__h1_h2__pressure_scaled__edge_local_mlp__K0__dc_only__seed42/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,linear_tile,Linear Tile,linear_tile_gpu,gpu,alpha_prescribed_1__h1__pressure_scaled__edge_local_mlp__K0__dc_only__seed42,prescribed,1.0,H1,alpha_prescribed_1__h1,0.01,0.0,0.0,42,k0,K=0 pressure prior (scaled),edge_local_mlp__K0__dc_only__seed42,53,0.00794328234724282,1.0,0.00794328234724282,0.00794328234724282,1.0,1.0,0.20567176527571795,1.0,0.4487731608807883,0.1320754716981132,0.0,0.0,0.0,0.0,../linear_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_1__h1__pressure_scaled__edge_local_mlp__K0__dc_only__seed42/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,linear_tile,Linear Tile,linear_tile_gpu,gpu,alpha_prescribed_1__h1_h2__pressure_scaled__edge_local_mlp__K0__dc_only__seed42,prescribed,1.0,H1 + H2,alpha_prescribed_1__h1_h2,0.01,0.0,0.0,42,k0,K=0 pressure prior (scaled),edge_local_mlp__K0__dc_only__seed42,53,0.00794328234724282,1.0,0.00794328234724282,0.00794328234724282,1.0,1.0,0.20567176527571795,1.0,0.4469601701820067,0.1509433962264151,0.0,0.0,0.0,0.0,../linear_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_1__h1_h2__pressure_scaled__edge_local_mlp__K0__dc_only__seed42/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,linear_tile,Linear Tile,linear_tile_gpu,gpu,alpha_prescribed_2__h1__pressure_scaled__edge_local_mlp__K0__dc_only__seed42,prescribed,2.0,H1,alpha_prescribed_2__h1,0.01,0.0,0.0,42,k0,K=0 pressure prior (scaled),edge_local_mlp__K0__dc_only__seed42,53,0.005011872336272725,2.0,0.005011872336272725,0.005011872336272725,2.0,2.0,0.49881276637272753,2.0,0.6897727210737415,0.03773584905660377,0.0,0.0,0.0,0.0,../linear_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_2__h1__pressure_scaled__edge_local_mlp__K0__dc_only__seed42/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,linear_tile,Linear Tile,linear_tile_gpu,gpu,alpha_prescribed_2__h1_h2__pressure_scaled__edge_local_mlp__K0__dc_only__seed42,prescribed,2.0,H1 + H2,alpha_prescribed_2__h1_h2,0.01,0.0,0.0,42,k0,K=0 pressure prior (scaled),edge_local_mlp__K0__dc_only__seed42,53,0.005623413251903491,2.0,0.005623413251903491,0.005623413251903491,2.0,2.0,0.4376586748096509,2.0,0.6136108784338475,0.03773584905660377,0.0,0.0,0.0,0.0,../linear_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_2__h1_h2__pressure_scaled__edge_local_mlp__K0__dc_only__seed42/distensibility_dashboard.html
